Weather_Condition,Weather_Simplified
Fair,Fair
Mostly Cloudy,Cloudy
Cloudy,Cloudy
Partly Cloudy,Cloudy
Light Rain,Rain
Fair / Windy,Windy
Light Snow,Snow
Rain,Rain
Wintry Mix,Wintry
Haze,Haze
Cloudy / Windy,Windy
Smoke,Smoke
Heavy Rain,Rain
Thunder in the Vicinity,Storm
Light Rain with Thunder,Storm
Snow,Snow
T-Storm / Windy,Storm
Mostly Cloudy / Windy,Windy
Fog,Fog
Snow / Windy,Snow
Overcast,Cloudy
Light Snow / Windy,Snow
Thunder,Storm
Light Drizzle / Windy,Rain
T-Storm,Storm
Partly Cloudy / Windy,Windy
Light Rain / Windy,Rain
Heavy T-Storm,Storm
Heavy Snow,Snow
Haze / Windy,Haze
Light Drizzle,Rain
Smoke / Windy,Smoke
Patches of Fog,Fog
Heavy T-Storm / Windy,Storm
Rain / Windy,Rain
Heavy Rain / Windy,Rain
Fog / Windy,Fog
Drizzle,Rain
Blowing Snow,Snow
Scattered Clouds,Cloudy
Light Freezing Rain,Ice
Showers in the Vicinity,Rain
Thunder / Windy,Storm
Shallow Fog,Fog
Light Freezing Drizzle,Rain
Mist,Mist
Light Ice Pellets,Ice
Heavy Sleet,Snow
Heavy Snow / Windy,Snow
Snow and Sleet,Snow
Light Snow and Sleet,Snow
Light Sleet,Snow
Drizzle and Fog,Fog
Blowing Snow / Windy,Snow
Snow and Sleet / Windy,Snow
